experiment_id	library_strategy	library_selection	taxon_id	scientific_name	collection_date	location	lat_lon
SRX30298323	WGS	RANDOM	1076179	bioreactor metagenome	2020-02-07	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298322	WGS	RANDOM	527639	wastewater metagenome	2020-01-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298321	WGS	RANDOM	1076179	bioreactor metagenome	2020-01-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298320	WGS	RANDOM	1076179	bioreactor metagenome	2020-01-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298319	WGS	RANDOM	1076179	bioreactor metagenome	2020-02-07	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298318	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-31	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298315	WGS	RANDOM	1076179	bioreactor metagenome	2020-02-07	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298314	WGS	RANDOM	1076179	bioreactor metagenome	2020-01-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298311	WGS	RANDOM	1076179	bioreactor metagenome	2020-01-13	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298305	WGS	RANDOM	1076179	bioreactor metagenome	2020-01-13	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298257	WGS	RANDOM	527639	wastewater metagenome	2019-04-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288578	WGS	RANDOM	1076179	bioreactor metagenome	2019-06-30	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288568	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288532	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-31	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288500	WGS	RANDOM	527639	wastewater metagenome	2019-08-15	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288499	WGS	RANDOM	527639	wastewater metagenome	2019-12-16	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288498	WGS	RANDOM	527639	wastewater metagenome	2019-11-05	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288496	WGS	RANDOM	527639	wastewater metagenome	2019-10-20	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288493	WGS	RANDOM	527639	wastewater metagenome	2019-07-24	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288488	WGS	RANDOM	527639	wastewater metagenome	2020-02-17	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288483	WGS	RANDOM	527639	wastewater metagenome	2019-05-23	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288482	WGS	RANDOM	527639	wastewater metagenome	2019-12-31	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288481	WGS	RANDOM	527639	wastewater metagenome	2019-04-25	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30288480	WGS	RANDOM	527639	wastewater metagenome	2019-09-12	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30280231	WGS	RANDOM	527639	wastewater metagenome	2020-01-13	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30280230	WGS	RANDOM	527639	wastewater metagenome	2019-12-31	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30280168	WGS	RANDOM	527639	wastewater metagenome	2019-11-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30280162	WGS	RANDOM	527639	wastewater metagenome	2019-10-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30280155	WGS	RANDOM	527639	wastewater metagenome	2019-09-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30280152	WGS	RANDOM	527639	wastewater metagenome	2019-10-20	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30279819	WGS	RANDOM	527639	wastewater metagenome	2019-09-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30279817	WGS	RANDOM	527639	wastewater metagenome	2019-12-03	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30279816	WGS	RANDOM	527639	wastewater metagenome	2019-09-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30279815	WGS	RANDOM	527639	wastewater metagenome	2019-05-23	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30279795	WGS	RANDOM	527639	wastewater metagenome	2019-04-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30279793	WGS	RANDOM	527639	wastewater metagenome	2019-05-23	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251579	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-12	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251554	WGS	RANDOM	1076179	bioreactor metagenome	2019-08-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251553	WGS	RANDOM	1076179	bioreactor metagenome	2019-08-29	USA: Denver, Colorado	39.7823 N 104.9101 W
